client_id,number_contacts,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
0,1,261,0,False,False,2022-05-13
1,1,149,0,False,False,2022-05-19
2,1,226,0,False,False,2022-05-23
3,1,151,0,False,False,2022-05-27
4,1,307,0,False,False,2022-05-03
5,1,198,0,False,False,2022-05-05
6,1,139,0,False,False,2022-05-03
7,1,217,0,False,False,2022-05-12
8,1,380,0,False,False,2022-05-21
9,1,50,0,False,False,2022-05-05
10,1,55,0,False,False,2022-05-08
11,1,222,0,False,False,2022-05-09
12,1,137,0,False,False,2022-05-29
13,1,293,0,False,False,2022-05-14
14,1,146,0,False,False,2022-05-29
15,1,174,0,False,False,2022-05-29
16,1,312,0,False,False,2022-05-01
17,1,440,0,False,False,2022-05-09
18,1,353,0,False,False,2022-05-06
19,1,195,0,False,False,2022-05-02
20,1,38,0,False,False,2022-05-02
21,1,262,0,False,False,2022-05-16
22,1,342,0,False,False,2022-05-20
23,1,181,0,False,False,2022-05-10
24,1,172,0,False,False,2022-05-02
25,1,99,0,False,False,2022-05-28
26,1,93,0,False,False,2022-05-30
27,1,233,0,False,False,2022-05-16
28,2,255,0,False,False,2022-05-01
29,1,362,0,False,False,2022-05-22
30,1,348,0,False,False,2022-05-22
31,1,386,0,False,False,2022-05-27
32,1,73,0,False,False,2022-05-25
33,1,230,0,False,False,2022-05-14
34,1,208,0,False,False,2022-05-25
35,1,336,0,False,False,2022-05-22
36,1,365,0,False,False,2022-05-11
37,1,1666,0,False,False,2022-05-03
38,1,577,0,False,False,2022-05-02
39,1,137,0,False,False,2022-05-20
40,1,366,0,False,False,2022-05-05
41,1,314,0,False,False,2022-05-25
42,1,160,0,False,False,2022-05-22
43,1,212,0,False,False,2022-05-01
44,1,188,0,False,False,2022-05-17
45,1,22,0,False,False,2022-05-28
46,1,616,0,False,False,2022-05-15
47,1,178,0,False,False,2022-05-03
48,1,355,0,False,False,2022-05-26
49,2,225,0,False,False,2022-05-26
50,1,160,0,False,False,2022-05-03
51,1,266,0,False,False,2022-05-09
52,1,253,0,False,False,2022-05-11
53,1,179,0,False,False,2022-05-13
54,2,269,0,False,False,2022-05-12
55,1,135,0,False,False,2022-05-08
56,1,161,0,False,False,2022-05-17
57,1,787,0,False,False,2022-05-08
58,1,145,0,False,False,2022-05-08
